UserId,PoisName,EnterTime,ExitTime,Duration
1,Canteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
2,Fountain,2020-01-04T08:15:00,020-01-04T08:16:00,P1m
3,Canteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca2nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca2nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca2nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca3nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca3nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca4nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca5nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
3,Ca5nteen,2020-01-04T12:15:00,2020-01-04T12:45:00,P15M
