UserId,PoisName,EnterTime,ExitTime,Duration
1,Park,2020-10-01T14:54:26,2020-10-01T15:35:41,PT41M15S
1,Finestra Pub,2020-10-01T15:39:50,2020-10-01T18:13:41,PT2H33M51S
1,Chinese Bar,2020-10-01T18:46:39,2020-10-01T19:41:24,PT54M45S
1,Dean's office,2020-10-01T20:42:14,2020-10-01T22:33:24,PT1H51M10S
1,Information Technology Center,2020-10-02T00:04:49,2020-10-02T01:11:17,PT1H6M28S
1,Dean's office,2020-10-02T04:07:48,2020-10-02T05:39:12,PT1H31M24S
1,Finestra Pub,2020-10-02T06:02:35,2020-10-02T06:18:11,PT15M36S
1,Information Technology Center,2020-10-02T06:51:51,2020-10-02T08:20:17,PT1H28M26S
1,Statue before BAIS Faculty,2020-10-02T09:01:32,2020-10-02T10:02:06,PT1H34S
1,Information Technology Center,2020-10-02T10:41:27,2020-10-02T12:39:30,PT1H58M3S
1,Bridge,2020-10-02T15:58:49,2020-10-02T16:24:19,PT25M30S
1,Chinese Bar,2020-10-03T07:43:08,2020-10-03T08:29:52,PT46M44S
1,Information Technology Center,2020-10-03T09:21:53,2020-10-03T10:22:30,PT1H37S
1,Statue before BAIS Faculty,2020-10-03T11:09:50,2020-10-03T11:20:40,PT10M50S
1,Sports bay,2020-10-04T12:54:54,2020-10-04T13:11:29,PT16M35S
1,Chinese Bar,2020-10-04T15:30:11,2020-10-04T15:45:34,PT15M23S
1,Bridge,2020-10-04T16:16:05,2020-10-04T16:49:08,PT33M3S
1,Dean's office,2020-10-04T17:35:41,2020-10-04T17:50:48,PT15M7S
1,Sports bay,2020-10-04T20:04:04,2020-10-04T20:37:32,PT33M28S
1,Cafeteria,2020-10-05T09:23:03,2020-10-05T09:51:58,PT28M55S
1,Statue before BAIS Faculty,2020-10-05T10:20:50,2020-10-05T11:59:05,PT1H38M15S
1,Main Library,2020-10-05T12:57:01,2020-10-05T13:16:58,PT19M57S
1,Statue before BAIS Faculty,2020-10-05T13:43:10,2020-10-05T14:41:25,PT58M15S
1,Cafeteria,2020-10-05T15:58:02,2020-10-05T16:40:02,PT42M
1,Chinese Bar,2020-10-05T17:03:42,2020-10-05T18:23:16,PT1H19M34S
1,Sports bay,2020-10-05T18:33:49,2020-10-05T20:07:02,PT1H33M13S
1,Information Technology Center,2020-10-06T14:09:22,2020-10-06T14:15:06,PT5M44S
1,Statue before BAIS Faculty,2020-10-06T14:57:05,2020-10-06T16:48:35,PT1H51M30S
1,Statue before BAIS Faculty,2020-10-06T17:00:25,2020-10-06T19:58:29,PT2H58M4S
1,Main Library,2020-10-06T22:25:40,2020-10-06T22:33:32,PT7M52S
1,Dean's office,2020-10-06T23:28:21,2020-10-07T00:30:48,PT1H2M27S
