13726,Information Technology Center,146316
13726,Main Library,113208
13726,Park,135293
13726,Sports bay,138220
13726,Statue before BAIS Faculty,121462
13727,Bridge,116657
13727,Cafeteria,103520
13727,Chinese Bar,120477
13727,Dean's office,100971
13727,Finestra Pub,94698
13727,Information Technology Center,185824
13727,Main Library,136729
13727,Park,132670
13727,Sports bay,150457
13727,Statue before BAIS Faculty,112429
13728,Bridge,154227
13728,Cafeteria,120240
13728,Chinese Bar,138764
13728,Dean's office,124094
13728,Finestra Pub,113773
13728,Information Technology Center,196250
13728,Main Library,139058
13728,Park,144958
13728,Sports bay,131538
13728,Statue before BAIS Faculty,95699
13729,Bridge,90824
13729,Cafeteria,108694
13729,Chinese Bar,125484
13729,Dean's office,111811
13729,Finestra Pub,126357
13729,Information Technology Center,92503
13729,Main Library,83265
13729,Park,99303
13729,Sports bay,116825
13729,Statue before BAIS Faculty,111066
13730,Bridge,127651
13730,Cafeteria,135016
13730,Chinese Bar,108706
13730,Dean's office,93511
13730,Finestra Pub,113548
13730,Information Technology Center,109629
13730,Main Library,136470
13730,Park,100310
13730,Sports bay,79663
13730,Statue before BAIS Faculty,118544
13731,Bridge,69148
13731,Cafeteria,127604
13731,Chinese Bar,143644
13731,Dean's office,101494
13731,Finestra Pub,114579
13731,Information Technology Center,135926
13731,Main Library,147666
13731,Park,97481
13731,Sports bay,190496
13731,Statue before BAIS Faculty,79742
13732,Bridge,160185
13732,Cafeteria,104155
13732,Chinese Bar,123686
13732,Dean's office,168229
13732,Finestra Pub,142097
13732,Information Technology Center,101993
13732,Main Library,124180
13732,Park,136817
13732,Sports bay,169550
13732,Statue before BAIS Faculty,155697
13733,Bridge,150828
13733,Cafeteria,87667
13733,Chinese Bar,132631
13733,Dean's office,141863
13733,Finestra Pub,111690
13733,Information Technology Center,120430
13733,Main Library,115486
13733,Park,94061
13733,Sports bay,121822
13733,Statue before BAIS Faculty,174937
13734,Bridge,104556
13734,Cafeteria,133760
13734,Chinese Bar,139162
13734,Dean's office,111580
13734,Finestra Pub,107349
13734,Information Technology Center,114613
13734,Main Library,134754
13734,Park,137340
13734,Sports bay,111182
13734,Statue before BAIS Faculty,80790
13735,Bridge,123953
13735,Cafeteria,144370
13735,Chinese Bar,96926
13735,Dean's office,136883
13735,Finestra Pub,101819
13735,Information Technology Center,127488
13735,Main Library,121035
13735,Park,154935
13735,Sports bay,134203
13735,Statue before BAIS Faculty,97299
13736,Bridge,109063
13736,Cafeteria,138001
13736,Chinese Bar,185764
13736,Dean's office,142529
13736,Finestra Pub,70282
13736,Information Technology Center,109494
13736,Main Library,145847
13736,Park,129125
13736,Sports bay,95817
13736,Statue before BAIS Faculty,95036
13737,Bridge,107643
13737,Cafeteria,129392
13737,Chinese Bar,137027
13737,Dean's office,147652
13737,Finestra Pub,87376
13737,Information Technology Center,129631
13737,Main Library,123870
13737,Park,102932
13737,Sports bay,136943
13737,Statue before BAIS Faculty,98122
13738,Bridge,117572
13738,Cafeteria,118707
13738,Chinese Bar,106809
13738,Dean's office,121051
13738,Finestra Pub,107337
13738,Information Technology Center,137124
13738,Main Library,143171
13738,Park,159108
13738,Sports bay,111481
13738,Statue before BAIS Faculty,92262
13739,Bridge,95960
13739,Cafeteria,73018
13739,Chinese Bar,102233
13739,Dean's office,150485
13739,Finestra Pub,125784
13739,Information Technology Center,84736
13739,Main Library,132528
13739,Park,137596
13739,Sports bay,168013
13739,Statue before BAIS Faculty,74881
13740,Bridge,122308
13740,Cafeteria,97465
13740,Chinese Bar,114286
13740,Dean's office,126431
13740,Finestra Pub,92428
13740,Information Technology Center,139644
13740,Main Library,135537
13740,Park,60982
13740,Sports bay,110468
13740,Statue before BAIS Faculty,100063
13741,Bridge,147111
13741,Cafeteria,149300
13741,Chinese Bar,121660
13741,Dean's office,118001
13741,Finestra Pub,106587
13741,Information Technology Center,144486
13741,Main Library,155280
13741,Park,136373
13741,Sports bay,149478
13741,Statue before BAIS Faculty,85330
13742,Bridge,171511
13742,Cafeteria,86689
13742,Chinese Bar,121409
13742,Dean's office,182111
13742,Finestra Pub,136555
13742,Information Technology Center,78262
13742,Main Library,73503
13742,Park,159874
13742,Sports bay,110326
13742,Statue before BAIS Faculty,215863
13743,Bridge,152961
13743,Cafeteria,91973
13743,Chinese Bar,111191
13743,Dean's office,129258
13743,Finestra Pub,148241
13743,Information Technology Center,108660
13743,Main Library,166865
13743,Park,150762
13743,Sports bay,88381
13743,Statue before BAIS Faculty,202093
13744,Bridge,85886
13744,Cafeteria,84093
13744,Chinese Bar,111264
13744,Dean's office,136764
13744,Finestra Pub,166926
13744,Information Technology Center,167176
13744,Main Library,144426
13744,Park,145174
13744,Sports bay,105630
13744,Statue before BAIS Faculty,148556
13745,Bridge,139846
13745,Cafeteria,114408
13745,Chinese Bar,93109
13745,Dean's office,112287
13745,Finestra Pub,121220
13745,Information Technology Center,102208
13745,Main Library,122449
13745,Park,114527
13745,Sports bay,130225
13745,Statue before BAIS Faculty,109342
13746,Bridge,137619
13746,Cafeteria,103720
13746,Chinese Bar,132719
13746,Dean's office,114204
13746,Finestra Pub,81485
13746,Information Technology Center,204161
13746,Main Library,84429
13746,Park,151026
13746,Sports bay,119919
13746,Statue before BAIS Faculty,109672
13747,Bridge,134739
13747,Cafeteria,136912
13747,Chinese Bar,107385
13747,Dean's office,106485
13747,Finestra Pub,122089
13747,Information Technology Center,125489
13747,Main Library,99197
13747,Park,104041
13747,Sports bay,122999
13747,Statue before BAIS Faculty,107422
13748,Bridge,110488
13748,Cafeteria,164364
13748,Chinese Bar,124660
13748,Dean's office,110869
13748,Finestra Pub,134014
13748,Information Technology Center,101839
13748,Main Library,104201
13748,Park,116785
13748,Sports bay,138495
13748,Statue before BAIS Faculty,137862
13749,Bridge,99912
13749,Cafeteria,147451
13749,Chinese Bar,99129
13749,Dean's office,130927
13749,Finestra Pub,108119
13749,Information Technology Center,117299
13749,Main Library,90726
13749,Park,127910
13749,Sports bay,111798
13749,Statue before BAIS Faculty,62226
13750,Bridge,98339
13750,Cafeteria,136299
13750,Chinese Bar,184896
13750,Dean's office,163950
13750,Finestra Pub,136904
13750,Information Technology Center,109701
13750,Main Library,101343
13750,Park,86038
13750,Sports bay,135002
13750,Statue before BAIS Faculty,123287
13751,Bridge,127179
13751,Cafeteria,118700
13751,Chinese Bar,159848
13751,Dean's office,194242
13751,Finestra Pub,176946
13751,Information Technology Center,125561
13751,Main Library,98919
13751,Park,141716
13751,Sports bay,118520
13751,Statue before BAIS Faculty,136432
13752,Bridge,82045
13752,Cafeteria,147717
13752,Chinese Bar,116376
13752,Dean's office,123233
13752,Finestra Pub,171240
13752,Information Technology Center,107290
13752,Main Library,80476
13752,Park,88028
13752,Sports bay,131769
13752,Statue before BAIS Faculty,84201
13753,Bridge,113410
13753,Cafeteria,100454
13753,Chinese Bar,106555
13753,Dean's office,112855
13753,Finestra Pub,108726
13753,Information Technology Center,164795
13753,Main Library,122247
13753,Park,151175
13753,Sports bay,92155
13753,Statue before BAIS Faculty,111621
13754,Bridge,66616
13754,Cafeteria,151107
13754,Chinese Bar,122564
13754,Dean's office,129326
13754,Finestra Pub,102604
13754,Information Technology Center,150899
13754,Main Library,112763
13754,Park,115821
13754,Sports bay,92539
13754,Statue before BAIS Faculty,104363
13755,Bridge,99571
13755,Cafeteria,104209
13755,Chinese Bar,112628
13755,Dean's office,166905
13755,Finestra Pub,166119
13755,Information Technology Center,108599
13755,Main Library,118219
13755,Park,108704
13755,Sports bay,93557
13755,Statue before BAIS Faculty,89569
13756,Bridge,120251
13756,Cafeteria,127769
13756,Chinese Bar,137830
13756,Dean's office,114187
