UserId,PoisName,EnterTime,ExitTime
1,finestra,2020-10-01 13:29:46,2020-10-01 14:04:12
1,chinol,2020-10-01 16:37:31,2020-10-01 16:45:53
1,chinol,2020-10-01 18:00:13,2020-10-01 19:51:41
1,finestra,2020-10-01 20:11:20,2020-10-01 20:41:38
1,chinol,2020-10-01 20:44:26,2020-10-01 21:11:50
1,finestra,2020-10-01 22:11:35,2020-10-01 22:37:59
1,finestra,2020-10-01 22:40:22,2020-10-01 23:11:47
1,finestra,2020-10-02 11:12:05,2020-10-02 11:19:28
1,chinol,2020-10-02 12:30:00,2020-10-02 13:43:23
1,chinol,2020-10-02 13:51:47,2020-10-02 14:06:30
1,finestra,2020-10-02 14:45:00,2020-10-02 15:46:49
1,chinol,2020-10-02 16:45:38,2020-10-02 17:26:49
1,finestra,2020-10-02 17:51:14,2020-10-02 18:07:32
1,chinol,2020-10-02 18:54:36,2020-10-02 19:22:07
1,chinol,2020-10-02 20:35:55,2020-10-02 22:06:44
1,finestra,2020-10-02 23:07:52,2020-10-02 23:44:00
1,finestra,2020-10-03 12:24:23,2020-10-03 12:54:57
1,finestra,2020-10-03 14:49:51,2020-10-03 14:51:16
1,chinol,2020-10-03 15:50:17,2020-10-03 16:52:39
1,finestra,2020-10-03 17:49:47,2020-10-03 18:57:49
1,finestra,2020-10-03 20:36:09,2020-10-03 22:20:26
1,chinol,2020-10-03 22:43:12,2020-10-03 23:40:41
1,chinol,2020-10-03 23:55:27,2020-10-04 00:52:41
1,finestra,2020-10-04 14:02:35,2020-10-04 17:00:25
1,chinol,2020-10-04 18:09:50,2020-10-04 19:07:15
1,finestra,2020-10-04 20:47:25,2020-10-04 22:25:56
1,finestra,2020-10-05 01:00:04,2020-10-05 01:14:19
1,chinol,2020-10-05 02:28:07,2020-10-05 03:58:41
1,chinol,2020-10-05 04:28:03,2020-10-05 05:06:50
1,finestra,2020-10-05 08:34:27,2020-10-05 10:03:29
1,chinol,2020-10-05 11:44:20,2020-10-05 12:38:55
1,finestra,2020-10-06 08:35:30,2020-10-06 10:24:29
1,finestra,2020-10-06 10:26:13,2020-10-06 11:57:07
1,chinol,2020-10-06 12:15:03,2020-10-06 12:30:27
1,chinol,2020-10-06 12:39:29,2020-10-06 15:31:47
