UserId,PoisName,EnterTime,ExitTime,Duration
1,chinol,2020-10-01T14:05:34,2020-10-01T14:24:56,PT19M22S
1,chinol,2020-10-01T14:38:32,2020-10-01T15:21:00,PT42M28S
1,finestra,2020-10-01T17:03:26,2020-10-01T18:38:11,PT1H34M45S
1,finestra,2020-10-02T11:51:44,2020-10-02T12:51:34,PT59M50S
1,chinol,2020-10-02T13:11:49,2020-10-02T14:00:16,PT48M27S
1,finestra,2020-10-02T14:23:58,2020-10-02T15:01:14,PT37M16S
1,finestra,2020-10-02T15:12:23,2020-10-02T15:21:37,PT9M14S
1,chinol,2020-10-02T16:48:40,2020-10-02T17:15:08,PT26M28S
1,finestra,2020-10-02T17:29:23,2020-10-02T17:45:07,PT15M44S
1,chinol,2020-10-03T13:12:25,2020-10-03T14:39:03,PT1H26M38S
1,finestra,2020-10-03T14:44:03,2020-10-03T16:26:54,PT1H42M51S
1,finestra,2020-10-04T10:26:43,2020-10-04T12:52:05,PT2H25M22S
1,chinol,2020-10-04T12:52:28,2020-10-04T13:03:15,PT10M47S
1,chinol,2020-10-04T13:18:38,2020-10-04T14:58:26,PT1H39M48S
1,chinol,2020-10-04T16:12:05,2020-10-04T16:22:30,PT10M25S
1,chinol,2020-10-04T17:21:42,2020-10-04T18:16:11,PT54M29S
1,finestra,2020-10-04T18:39:07,2020-10-04T18:43:35,PT4M28S
1,finestra,2020-10-05T12:04:18,2020-10-05T12:17:24,PT13M6S
1,finestra,2020-10-05T13:35:46,2020-10-05T16:30:57,PT2H55M11S
1,chinol,2020-10-05T17:13:59,2020-10-05T17:25:54,PT11M55S
1,chinol,2020-10-05T18:22:24,2020-10-05T19:49:08,PT1H26M44S
1,chinol,2020-10-06T12:14:10,2020-10-06T13:32:35,PT1H18M25S
1,chinol,2020-10-06T13:41:15,2020-10-06T15:28:46,PT1H47M31S
1,chinol,2020-10-06T15:55:25,2020-10-06T16:42:11,PT46M46S
1,finestra,2020-10-06T17:30:22,2020-10-06T19:11:41,PT1H41M19S
1,finestra,2020-10-06T19:35:56,2020-10-06T19:37:53,PT1M57S
1,finestra,2020-10-07T07:02:49,2020-10-07T07:53:44,PT50M55S
1,finestra,2020-10-07T09:19:52,2020-10-07T09:20:52,PT1M
1,finestra,2020-10-07T09:40:23,2020-10-07T11:29:49,PT1H49M26S
1,finestra,2020-10-08T14:32:43,2020-10-08T15:43:19,PT1H10M36S
1,finestra,2020-10-08T16:30:53,2020-10-08T17:43:32,PT1H12M39S
1,finestra,2020-10-08T19:07:04,2020-10-08T21:05:35,PT1H58M31S
1,finestra,2020-10-08T23:58:16,2020-10-09T01:53:13,PT1H54M57S
1,finestra,2020-10-09T02:21:08,2020-10-09T02:55:20,PT34M12S
1,chinol,2020-10-09T02:56:37,2020-10-09T03:12:56,PT16M19S
1,finestra,2020-10-09T04:06:54,2020-10-09T04:44:48,PT37M54S
1,chinol,2020-10-09T15:25:16,2020-10-09T16:13:43,PT48M27S
1,finestra,2020-10-09T17:15:49,2020-10-09T17:18:55,PT3M6S
1,chinol,2020-10-09T18:24:16,2020-10-09T18:35:55,PT11M39S
1,finestra,2020-10-09T19:26:06,2020-10-09T20:18:59,PT52M53S
1,finestra,2020-10-09T21:22:22,2020-10-09T23:45:42,PT2H23M20S
1,chinol,2020-10-10T00:57:12,2020-10-10T01:26:04,PT28M52S
1,finestra,2020-10-10T01:48:56,2020-10-10T02:28:34,PT39M38S
1,chinol,2020-10-10T04:20:23,2020-10-10T07:10:48,PT2H50M25S
1,chinol,2020-10-10T08:58:57,2020-10-10T10:57:37,PT1H58M40S
1,finestra,2020-10-10T10:40:45,2020-10-10T11:40:43,PT59M58S
1,finestra,2020-10-10T11:49:55,2020-10-10T12:16:43,PT26M48S
1,finestra,2020-10-10T15:16:32,2020-10-10T15:59:42,PT43M10S
1,chinol,2020-10-10T16:05:02,2020-10-10T17:01:28,PT56M26S
1,chinol,2020-10-10T18:17:56,2020-10-10T18:55:32,PT37M36S
1,finestra,2020-10-11T07:55:11,2020-10-11T08:06:07,PT10M56S
1,chinol,2020-10-11T08:20:52,2020-10-11T09:03:32,PT42M40S
1,chinol,2020-10-12T15:39:31,2020-10-12T16:45:07,PT1H5M36S
1,chinol,2020-10-12T16:53:08,2020-10-12T19:00:17,PT2H7M9S
1,chinol,2020-10-12T19:08:43,2020-10-12T20:11:02,PT1H2M19S
1,finestra,2020-10-13T11:10:16,2020-10-13T11:10:49,PT33S
